CustomerKey,GeographyKey,Title,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,Phone,DateFirstPurchase,CommuteDistance
11015,301,MS.,CHLOE,YOUNG,8/26/2000,S,F,chloe23@adventure-works.com,30000,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,208-555-0142,6/21/2022,5-10 Miles
11016,329,MR.,WYATT,HILL,10/25/2000,M,M,wyatt32@adventure-works.com,30000,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,135-555-0171,7/13/2022,5-10 Miles
11017,39,MS.,SHANNON,WANG,12/24/1965,S,F,shannon1@adventure-works.com,20000,4,High School,Skilled Manual,1,2,7330 Saddlehill Lane,1 (11) 500 555-0195,7/8/2020,5-10 Miles
11018,32,MR.,CLARENCE,RAI,10/6/1971,S,M,clarence32@adventure-works.com,30000,2,Partial College,Clerical,1,2,244 Rivewview,1 (11) 500 555-0137,7/10/2020,5-10 Miles
11019,52,MR.,LUKE,LAL,9/4/1999,S,M,luke18@adventure-works.com,40000,0,High School,Skilled Manual,0,2,7832 Landing Dr,262-555-0112,7/16/2022,5-10 Miles
11020,53,MR.,JORDAN,KING,3/19/2000,S,M,jordan73@adventure-works.com,40000,0,High School,Skilled Manual,0,2,7156 Rose Dr.,550-555-0163,6/1/2022,1-2 Miles
11021,536,MS.,DESTINY,WILSON,3/2/2000,S,F,destiny7@adventure-works.com,40000,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,622-555-0158,6/26/2022,1-2 Miles
11022,609,MR.,ETHAN,ZHANG,4/10/2000,M,M,ethan20@adventure-works.com,40000,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,589-555-0185,6/23/2022,5-10 Miles
11023,298,MR.,SETH,EDWARDS,4/9/2000,M,M,seth46@adventure-works.com,40000,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,452-555-0188,7/21/2022,1-2 Miles
11024,311,MR.,RUSSELL,XIE,3/16/2000,M,M,russell7@adventure-works.com,60000,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,746-555-0186,11/28/2022,5-10 Miles
11025,24,MR.,ALEJANDRO,BECK,6/22/1967,M,M,alejandro45@adventure-works.com,10000,2,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,1 (11) 500 555-0178,7/5/2020,1-2 Miles
11026,4,MR.,HAROLD,SAI,10/1/1967,S,M,harold3@adventure-works.com,30000,2,Partial College,Clerical,0,2,8211 Leeds Ct.,1 (11) 500 555-0131,7/14/2020,1-2 Miles
11027,40,MR.,JESSIE,ZHAO,6/5/1968,M,M,jessie16@adventure-works.com,30000,2,Partial College,Clerical,1,2,213 Valencia Place,1 (11) 500 555-0184,7/10/2020,5-10 Miles
11028,17,MRS.,JILL,JIMENEZ,10/9/1967,M,F,jill13@adventure-works.com,30000,2,Partial College,Clerical,1,2,9111 Rose Ann Ave,1 (11) 500 555-0116,7/16/2020,1-2 Miles
11029,32,MR.,JIMMY,MORENO,6/19/1968,M,M,jimmy9@adventure-works.com,30000,2,Partial College,Clerical,1,2,6385 Mark Twain,1 (11) 500 555-0146,7/12/2020,1-2 Miles
11030,28,MRS.,BETHANY,YUAN,2/18/1974,M,F,bethany10@adventure-works.com,10000,2,Partial High School,Clerical,1,2,636 Vine Hill Way,1 (11) 500 555-0182,7/21/2020,1-2 Miles
11031,8,MRS.,THERESA,RAMOS,2/18/1969,M,F,theresa13@adventure-works.com,20000,4,High School,Skilled Manual,1,2,6465 Detroit Ave.,1 (11) 500 555-0195,7/19/2020,1-2 Miles
11032,35,MRS.,DENISE,STONE,12/8/1968,M,F,denise10@adventure-works.com,20000,4,High School,Skilled Manual,1,2,626 Bentley Street,1 (11) 500 555-0169,7/27/2020,1-2 Miles
11033,9,MR.,JAIME,NATH,9/19/1974,M,M,jaime41@adventure-works.com,20000,4,High School,Skilled Manual,1,2,5927 Rainbow Dr,1 (11) 500 555-0137,7/25/2020,5-10 Miles
11034,12,MRS.,EBONY,GONZALEZ,12/16/1968,M,F,ebony19@adventure-works.com,20000,4,High School,Skilled Manual,1,2,5167 Condor Place,1 (11) 500 555-0136,7/19/2020,5-10 Miles
11035,33,MRS.,WENDY,DOMINGUEZ,8/23/1969,M,F,wendy12@adventure-works.com,10000,2,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,1 (11) 500 555-0177,7/21/2020,1-2 Miles
11036,343,MRS.,JENNIFER,RUSSELL,6/16/2000,M,F,jennifer93@adventure-works.com,60000,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,115-555-0183,6/25/2022,1-2 Miles
11037,49,MS.,CHLOE,GARCIA,5/27/1999,S,F,chloe27@adventure-works.com,40000,0,Partial High School,Clerical,0,2,8915 Woodside Way,229-555-0112,6/23/2022,5-10 Miles
11038,6,MRS.,DIANA,HERNANDEZ,9/20/1969,M,F,diana2@adventure-works.com,10000,2,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,1 (11) 500 555-0114,7/22/2020,5-10 Miles
11039,19,MR.,MARC,MARTIN,6/16/1970,M,M,marc3@adventure-works.com,30000,3,Partial College,Clerical,1,2,9353 Creekside Dr.,1 (11) 500 555-0183,7/22/2020,5-10 Miles
11040,642,MR.,JESSE,MURPHY,1/29/1999,M,M,jesse15@adventure-works.com,30000,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,961-555-0176,9/4/2022,1-2 Miles
11041,325,MRS.,AMANDA,CARTER,4/15/1999,M,F,amanda53@adventure-works.com,60000,0,Partial College,Skilled Manual,1,2,5826 Escobar,295-555-0145,6/17/2022,1-2 Miles
11042,338,MRS.,MEGAN,SANCHEZ,12/11/1998,M,F,megan28@adventure-works.com,70000,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,404-555-0199,6/24/2022,0-1 Miles
11043,325,MR.,NATHAN,SIMMONS,8/23/1997,M,M,nathan11@adventure-works.com,60000,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,296-555-0181,10/9/2022,5-10 Miles
11044,25,MR.,ADAM,FLORES,11/21/1970,M,M,adam10@adventure-works.com,20000,2,Partial High School,Clerical,1,2,6935 Candle Dr,1 (11) 500 555-0163,8/2/2020,1-2 Miles
11045,8,MR.,LEONARD,NARA,11/16/1971,S,M,leonard18@adventure-works.com,30000,3,High School,Skilled Manual,0,2,7466 La Vista Ave.,1 (11) 500 555-0151,9/11/2022,1-2 Miles
11046,6,MRS.,CHRISTINE,YUAN,9/19/1971,M,F,christine4@adventure-works.com,30000,3,High School,Skilled Manual,1,2,2356 Orange St,1 (11) 500 555-0113,7/21/2020,5-10 Miles
11047,34,MRS.,JACLYN,LU,8/27/1971,M,F,jaclyn12@adventure-works.com,30000,3,High School,Skilled Manual,0,2,2812 Mazatlan,1 (11) 500 555-0137,7/20/2020,1-2 Miles
11048,39,MR.,JEREMY,POWELL,5/21/1972,M,M,jeremy26@adventure-works.com,30000,3,High School,Skilled Manual,1,2,1803 Potomac Dr.,1 (11) 500 555-0183,7/23/2020,5-10 Miles
11049,307,MS.,CAROL,RAI,1/15/2002,S,F,carol8@adventure-works.com,40000,0,Partial High School,Clerical,1,2,6064 Madrid,654-555-0180,8/10/2022,5-10 Miles
11050,31,MR.,ALAN,ZHENG,3/6/1973,M,M,alan23@adventure-works.com,30000,3,High School,Skilled Manual,1,2,2741 Gainborough Dr.,1 (11) 500 555-0135,7/28/2020,5-10 Miles
11051,21,MR.,DANIEL,JOHNSON,1/31/1973,S,M,daniel18@adventure-works.com,30000,3,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,1 (11) 500 555-0155,5/31/2023,1-2 Miles
11052,8,MS.,HEIDI,LOPEZ,2/3/1973,S,F,heidi19@adventure-works.com,40000,2,Partial College,Clerical,0,2,2514 Via Cordona,1 (11) 500 555-0168,7/26/2020,5-10 Miles
11053,359,MRS.,ANA,PRICE,2/17/2002,M,F,ana0@adventure-works.com,60000,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,859-555-0113,6/20/2022,1-2 Miles
11054,34,MRS.,DEANNA,MUNOZ,9/7/1973,M,F,deanna33@adventure-works.com,40000,2,Partial College,Skilled Manual,1,2,5825 B Way,1 (11) 500 555-0192,7/20/2020,5-10 Miles
11055,22,MR.,GILBERT,RAJE,9/2/1973,M,M,gilbert35@adventure-works.com,40000,2,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,1 (11) 500 555-0129,7/18/2020,5-10 Miles
11056,10,MRS.,MICHELE,NATH,10/1/1974,M,F,michele19@adventure-works.com,40000,3,Partial College,Skilled Manual,1,2,5464 Janin Pl.,1 (11) 500 555-0178,7/31/2020,5-10 Miles
11057,5,MR.,CARL,ANDERSEN,4/7/1986,M,M,carl12@adventure-works.com,70000,2,Graduate Degree,Management,1,2,6930 Lake Nadine Place,1 (11) 500 555-0181,7/29/2020,1-2 Miles
11058,29,MR.,MARC,DIAZ,4/23/1981,M,M,marc6@adventure-works.com,80000,2,Partial College,Skilled Manual,1,2,6645 Sinaloa,1 (11) 500 555-0149,8/11/2020,1-2 Miles
11059,27,MS.,ASHLEE,ANDERSEN,9/29/1975,S,F,ashlee19@adventure-works.com,80000,2,Partial College,Skilled Manual,1,2,8255 Highland Road,1 (11) 500 555-0112,7/22/2022,5-10 Miles
11060,40,MR.,JON,ZHOU,9/14/1975,M,M,jon28@adventure-works.com,80000,2,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,1 (11) 500 555-0174,8/20/2020,5-10 Miles
11061,23,MR.,TODD,GAO,2/20/1992,M,M,todd14@adventure-works.com,80000,2,Partial College,Skilled Manual,1,2,8808 Geneva Ave,1 (11) 500 555-0191,8/14/2020,5-10 Miles
11062,547,MR.,NOAH,POWELL,3/1/1997,M,M,noah5@adventure-works.com,40000,0,High School,Skilled Manual,1,2,9794 Marion Ct,767-555-0113,6/10/2022,5-10 Miles
11063,634,MS.,ANGELA,MURPHY,10/4/1996,S,F,angela41@adventure-works.com,40000,0,High School,Skilled Manual,1,2,4927 Virgil Street,451-555-0162,6/15/2022,5-10 Miles
11064,315,MR.,CHASE,REED,6/5/1997,M,M,chase21@adventure-works.com,40000,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,892-555-0184,6/28/2022,5-10 Miles
11065,331,MRS.,JESSICA,HENDERSON,4/8/1995,M,F,jessica29@adventure-works.com,60000,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,278-555-0186,7/14/2022,1-2 Miles
11066,543,MRS.,GRACE,BUTLER,5/27/1995,M,F,grace62@adventure-works.com,70000,0,Partial College,Professional,1,2,4739 Garden Ave.,712-555-0141,11/1/2022,5-10 Miles
11067,632,MR.,CALEB,CARTER,3/25/1998,S,M,caleb40@adventure-works.com,60000,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,944-555-0167,1/19/2023,5-10 Miles
11068,40,MS.,TIFFANY,LIANG,9/19/1982,S,F,tiffany17@adventure-works.com,80000,2,High School,Skilled Manual,1,2,3608 Sinclair Avenue,1 (11) 500 555-0177,10/1/2022,5-10 Miles
11069,23,MS.,CAROLYN,NAVARRO,9/17/1982,S,F,carolyn30@adventure-works.com,80000,2,High School,Skilled Manual,0,2,4606 Springwood Court,1 (11) 500 555-0145,9/18/2020,1-2 Miles
11070,39,MR.,WILLIE,RAJI,10/2/1976,M,M,willie40@adventure-works.com,80000,2,High School,Skilled Manual,1,2,6260 Vernal Drive,1 (11) 500 555-0151,9/28/2020,5-10 Miles
11071,24,MS.,LINDA,SERRANO,12/23/1976,S,F,linda31@adventure-works.com,80000,2,High School,Skilled Manual,1,2,9808 Shaw Rd.,1 (11) 500 555-0130,8/2/2022,5-10 Miles
11072,17,MS.,CASEY,LUO,8/5/1976,S,F,casey6@adventure-works.com,80000,2,High School,Skilled Manual,0,2,9513 Roslyn Drive,1 (11) 500 555-0125,9/1/2020,1-2 Miles
11073,16,MS.,AMY,YE,2/11/1978,S,F,amy16@adventure-works.com,70000,2,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,1 (11) 500 555-0185,8/24/2022,5-10 Miles
11074,28,MR.,LEVI,ARUN,2/25/1978,S,M,levi6@adventure-works.com,70000,2,High School,Skilled Manual,1,2,4661 Bluetail,1 (11) 500 555-0127,8/24/2022,5-10 Miles
11075,32,MS.,FELICIA,JIMENEZ,5/16/1979,S,F,felicia4@adventure-works.com,80000,2,High School,Professional,1,2,786 Eastgate Ave,1 (11) 500 555-0165,9/28/2020,5-10 Miles
11076,19,MR.,BLAKE,ANDERSON,1/10/1979,S,M,blake9@adventure-works.com,80000,2,High School,Professional,1,2,5436 Clear,1 (11) 500 555-0113,9/22/2020,5-10 Miles
11077,36,MS.,LEAH,YE,3/19/1979,S,F,leah7@adventure-works.com,80000,2,High School,Professional,0,2,1291 Arguello Blvd.,1 (11) 500 555-0154,9/16/2020,1-2 Miles
11078,49,MS.,GINA,MARTIN,1/6/2001,S,F,gina1@adventure-works.com,40000,0,High School,Professional,0,2,1349 Sol St.,196-555-0114,7/19/2022,1-2 Miles
11079,34,MR.,DONALD,GONZALEZ,3/7/1986,S,M,donald20@adventure-works.com,160000,0,Graduate Degree,Management,1,2,4236 Malibu Place,1 (11) 500 555-0137,8/16/2022,0-1 Miles
11080,30,MR.,DAMIEN,CHANDER,1/13/1981,M,M,damien32@adventure-works.com,170000,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,1 (11) 500 555-0111,9/11/2020,0-1 Miles
11081,311,MRS.,SAVANNAH,BAKER,1/21/1988,M,F,savannah39@adventure-works.com,120000,2,Bachelors,Management,1,3,1210 Trafalgar Circle,478-555-0117,7/16/2022,2-5 Miles
11082,322,MS.,ANGELA,BUTLER,2/1/1988,S,F,angela17@adventure-works.com,130000,0,Graduate Degree,Management,0,3,6040 Listing Ct,579-555-0195,6/25/2022,1-2 Miles
11083,336,MRS.,ALYSSA,COX,3/11/1993,M,F,alyssa37@adventure-works.com,130000,0,Graduate Degree,Management,1,3,867 La Orinda Place,561-555-0140,6/9/2022,1-2 Miles
11084,543,MR.,LUCAS,PHILLIPS,3/12/1979,S,M,lucas7@adventure-works.com,80000,2,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,863-555-0172,6/7/2022,1-2 Miles
11085,345,MS.,EMILY,JOHNSON,1/16/1979,S,F,emily1@adventure-works.com,60000,2,High School,Professional,0,2,7926 Stephanie Way,850-555-0184,5/8/2023,5-10 Miles
11086,369,MR.,RYAN,BROWN,6/22/1979,M,M,ryan43@adventure-works.com,70000,2,Partial College,Professional,1,0,2939 Wesley Ct.,539-555-0198,12/3/2022,0-1 Miles
11087,307,MRS.,TAMARA,LIANG,4/2/1979,M,F,tamara6@adventure-works.com,70000,3,Partial College,Professional,0,0,3791 Rossmor Parkway,178-555-0152,7/29/2022,0-1 Miles
11088,359,MR.,HUNTER,DAVIS,5/25/1979,M,M,hunter64@adventure-works.com,80000,2,Bachelors,Management,1,0,4308 Sand Pointe Lane,612-555-0141,6/16/2022,2-5 Miles
11089,337,MS.,ABIGAIL,PRICE,8/5/1978,S,F,abigail25@adventure-works.com,80000,2,Bachelors,Management,1,1,2685 Blackburn Ct,532-555-0117,6/1/2022,2-5 Miles
11090,338,MR.,TREVOR,BRYANT,12/13/1984,S,M,trevor18@adventure-works.com,90000,2,Partial College,Professional,1,1,5781 Sharon Dr.,853-555-0174,1/7/2021,2-5 Miles
11091,50,MR.,DALTON,PEREZ,10/2/1978,M,M,dalton37@adventure-works.com,90000,2,Partial College,Professional,1,1,6083 San Jose,559-555-0115,7/2/2022,5-10 Miles
11092,22,MRS.,CHERYL,DIAZ,11/2/1988,M,F,cheryl4@adventure-works.com,90000,2,Bachelors,Professional,1,0,7297 Kaywood Drive,1 (11) 500 555-0192,9/9/2020,1-2 Miles
11093,19,MRS.,AIMEE,HE,9/6/1994,M,F,aimee13@adventure-works.com,100000,0,Graduate Degree,Management,1,0,1833 Olympic Drive,1 (11) 500 555-0161,9/8/2020,0-1 Miles
11094,33,MR.,CEDRIC,MA,9/29/1983,S,M,cedric15@adventure-works.com,70000,1,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,1 (11) 500 555-0115,9/8/2022,0-1 Miles
11095,13,MR.,CHAD,KUMAR,2/29/1984,S,M,chad9@adventure-works.com,70000,1,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,1 (11) 500 555-0151,9/2/2020,5-10 Miles
11096,12,MR.,ANDRÉS,ANAND,2/7/1984,M,M,andrés18@adventure-works.com,60000,1,Bachelors,Professional,1,1,5423 Los Gatos Ct.,1 (11) 500 555-0184,9/12/2020,5-10 Miles
11097,40,MR.,EDWIN,NARA,10/23/1988,M,M,edwin39@adventure-works.com,60000,1,Partial College,Skilled Manual,1,1,719 William Way,1 (11) 500 555-0112,9/5/2020,5-10 Miles
11098,14,MS.,MALLORY,RUBIO,10/29/1982,S,F,mallory7@adventure-works.com,60000,1,Partial College,Skilled Manual,0,1,6452 Harris Circle,1 (11) 500 555-0157,7/15/2022,0-1 Miles
11099,13,MR.,ADAM,ROSS,9/5/1982,M,M,adam2@adventure-works.com,60000,1,Bachelors,Professional,1,1,4378 Westminster Place,1 (11) 500 555-0186,9/8/2020,0-1 Miles
11100,28,MS.,LATASHA,NAVARRO,3/15/1982,S,F,latasha10@adventure-works.com,60000,1,Partial College,Skilled Manual,1,1,6954 Ranch Road,1 (11) 500 555-0123,9/17/2020,5-10 Miles
11101,33,MS.,ABBY,SAI,11/5/1986,S,F,abby4@adventure-works.com,70000,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,1 (11) 500 555-0174,9/29/2020,0-1 Miles
11102,18,MS.,JULIA,NELSON,10/19/1986,S,F,julia7@adventure-works.com,80000,5,Bachelors,Professional,1,4,2196 Coat Ct.,1 (11) 500 555-0124,12/17/2022,1-2 Miles
11103,3,MS.,CASSIE,CHANDE,4/12/1997,S,F,cassie13@adventure-works.com,70000,0,Bachelors,Professional,1,1,9448 San Marino Ct.,1 (11) 500 555-0166,9/16/2020,5-10 Miles
11104,23,MR.,EDGAR,SARA,3/8/1991,M,M,edgar11@adventure-works.com,70000,0,Bachelors,Professional,0,1,6127 Lilly Lane,1 (11) 500 555-0125,10/4/2020,0-1 Miles
11105,8,MS.,CANDACE,FERNANDEZ,6/27/1986,S,F,candace15@adventure-works.com,70000,0,Bachelors,Professional,0,1,5029 Blue Ridge,1 (11) 500 555-0162,10/14/2020,5-10 Miles
11106,40,MR.,JESSIE,LIU,3/11/1986,S,M,jessie9@adventure-works.com,70000,0,Bachelors,Professional,0,1,3063 Blue Jay Drive,1 (11) 500 555-0163,10/18/2020,5-10 Miles
11107,17,MRS.,BIANCA,LIN,3/4/1992,M,F,bianca7@adventure-works.com,90000,1,Bachelors,Professional,1,1,7530 Eola,1 (11) 500 555-0121,10/1/2020,5-10 Miles
11108,13,MS.,KARI,ALVAREZ,1/10/1985,S,F,kari25@adventure-works.com,70000,0,Bachelors,Professional,0,2,9178 Thornhill Place,1 (11) 500 555-0169,10/3/2020,0-1 Miles
11109,38,MR.,RUBEN,KAPOOR,4/30/1996,S,M,ruben1@adventure-works.com,70000,0,Bachelors,Professional,0,2,1984 Glendale Circle,1 (11) 500 555-0132,10/10/2020,0-1 Miles
11110,3,MR.,CURTIS,YANG,12/4/1983,M,M,curtis5@adventure-works.com,60000,1,Partial College,Skilled Manual,1,1,4052 Mt. Wilson Way,1 (11) 500 555-0127,10/1/2020,5-10 Miles
11111,34,MRS.,MEREDITH,GUTIERREZ,8/23/1983,M,F,meredith34@adventure-works.com,60000,1,Partial College,Skilled Manual,1,1,7610 Northridge Ct.,1 (11) 500 555-0179,10/20/2020,0-1 Miles
11112,25,MRS.,CRYSTAL,WANG,3/8/1984,M,F,crystal3@adventure-works.com,60000,1,Partial College,Skilled Manual,1,1,2773 Kirkwood Dr,1 (11) 500 555-0134,10/25/2020,0-1 Miles
11113,30,MR.,MICHEAL,BLANCO,2/17/1989,M,M,micheal11@adventure-works.com,70000,5,Bachelors,Professional,1,2,596 Marfargoa Drive,1 (11) 500 555-0131,7/5/2022,5-10 Miles
11114,14,MS.,LESLIE,MORENO,11/25/1983,S,F,leslie7@adventure-works.com,70000,5,Partial College,Skilled Manual,1,2,7941 Cristobal,1 (11) 500 555-0115,8/19/2022,5-10 Miles
11115,17,MR.,ALVIN,CAI,8/12/1983,M,M,alvin20@adventure-works.com,70000,5,Partial College,Skilled Manual,1,2,7759 Azalea Avenue,1 (11) 500 555-0191,7/14/2022,0-1 Miles
11116,18,MR.,CLINTON,CARLSON,4/2/1995,M,M,clinton14@adventure-works.com,70000,5,Partial College,Skilled Manual,1,2,7943 Cunha Ct.,1 (11) 500 555-0184,8/16/2022,5-10 Miles
11117,8,MRS.,APRIL,DENG,8/21/1982,M,F,april1@adventure-works.com,70000,5,Partial College,Skilled Manual,1,3,485 Ash Lane,1 (11) 500 555-0182,10/6/2020,10+ Miles
11118,6,MR.,ALVIN,ZENG,12/31/1978,S,M,alvin21@adventure-works.com,80000,1,Partial College,Skilled Manual,0,1,3853 Wildcat Circle,1 (11) 500 555-0174,12/11/2022,0-1 Miles
11119,13,MR.,EVAN,JAMES,10/7/1956,S,M,evan8@adventure-works.com,30000,2,Partial College,Clerical,0,2,4157 Sierra Ridge,1 (11) 500 555-0187,7/7/2022,0-1 Miles
11120,18,MS.,BETH,JIMÉNEZ,2/6/1958,S,F,beth8@adventure-works.com,40000,2,Bachelors,Management,1,1,7401 Las Palmas,1 (11) 500 555-0164,10/14/2020,5-10 Miles
11121,10,MR.,ORLANDO,SUAREZ,5/18/1982,M,M,orlando19@adventure-works.com,70000,5,Partial College,Skilled Manual,1,3,7743 Hames Dr,1 (11) 500 555-0198,11/25/2022,10+ Miles
11122,12,MR.,BYRON,VAZQUEZ,9/30/1981,M,M,byron9@adventure-works.com,70000,5,Partial College,Skilled Manual,1,3,3187 Hackamore Lane,1 (11) 500 555-0136,7/25/2022,5-10 Miles
11123,39,MR.,PHILIP,ALVAREZ,12/18/1981,M,M,philip4@adventure-works.com,70000,5,Partial College,Skilled Manual,1,3,2775 Mt. Olivet Pl.,1 (11) 500 555-0191,9/18/2022,10+ Miles
11124,40,MR.,ROSS,JORDAN,7/23/1984,S,M,ross1@adventure-works.com,80000,1,Partial College,Skilled Manual,1,1,6973 Dublin Court,1 (11) 500 555-0126,10/5/2020,5-10 Miles
11125,37,MS.,DANA,NAVARRO,10/6/1977,S,F,dana2@adventure-works.com,70000,1,Partial College,Skilled Manual,1,1,8481 Zartop Street,1 (11) 500 555-0172,7/4/2022,5-10 Miles
11126,11,MR.,SHAUN,CARSON,10/5/1970,M,M,shaun16@adventure-works.com,10000,2,High School,Skilled Manual,0,2,57 Wolf Way,1 (11) 500 555-0155,10/28/2020,0-1 Miles
11127,361,MRS.,JAN,EDWARDS,4/19/1997,M,F,jan11@adventure-works.com,40000,0,High School,Skilled Manual,1,1,9409 The Alameda,111-555-0118,9/11/2022,5-10 Miles
11128,635,MRS.,SAMANTHA,LONG,6/3/1997,M,F,samantha35@adventure-works.com,40000,0,High School,Skilled Manual,1,1,1606 Alderwood Lane,175-555-0139,11/20/2022,5-10 Miles
11129,638,MS.,JULIA,WRIGHT,2/1/1997,S,F,julia17@adventure-works.com,40000,0,High School,Skilled Manual,1,1,7397 Central Blvd.,456-555-0174,1/6/2021,5-10 Miles
11130,543,MRS.,CAROLINE,RUSSELL,7/5/2001,M,F,caroline21@adventure-works.com,30000,0,High School,Skilled Manual,1,2,3884 Bates Court,424-555-0137,5/11/2023,5-10 Miles
11131,50,MRS.,AMANDA,RIVERA,9/9/2001,M,F,amanda7@adventure-works.com,30000,0,High School,Skilled Manual,0,2,9573 Royal Oak Rd.,918-555-0126,3/20/2023,0-1 Miles
11132,51,MS.,MELISSA,RICHARDSON,4/25/2002,S,F,melissa31@adventure-works.com,30000,0,High School,Skilled Manual,0,2,6832 Fruitwood Dr,928-555-0118,9/10/2022,5-10 Miles
11133,542,MS.,ANGELA,GRIFFIN,3/8/2002,S,F,angela23@adventure-works.com,30000,0,Partial High School,Clerical,0,2,3828 Baltic Sea Ct,598-555-0174,6/1/2023,0-1 Miles
11134,30,MR.,LARRY,TOWNSEND,2/22/1973,S,M,larry14@adventure-works.com,10000,5,High School,Skilled Manual,1,2,7034 Carson,1 (11) 500 555-0130,10/3/2020,5-10 Miles
